Name;Organization;Link;Profession;Social networks;logo
Kassner, Kerstin;The Left Party;https://www.bundestag.de/en/members/kassner_kerstin-520872;Diplom-Ökonomin;None;https://www.bundestag.de/resource/blob/12550/daed5c21483e8d02bf12297383ebffe9/fraktion_dielinke_banner-data.jpg
Katzmarek, Gabriele;SPD;https://www.bundestag.de/en/members/katzmarek_gabriele-520884;Gewerkschaftssekretärin;None;https://www.bundestag.de/resource/blob/12540/ce22aa20712bcd17e5280cb9f585c088/fraktion_spd_banner-data.png
Kauder, Volker;CDU/CSU;https://www.bundestag.de/en/members/kauder_volker-520888;Jurist;"volker-kauder.de - http://www.volker-kauder.de;";https://www.bundestag.de/resource/blob/12558/877a2d10c8e3205c9b41be408f070318/fraktion_cdu_banner-data.jpg
Kaufmann, Dr. Stefan;CDU/CSU;https://www.bundestag.de/en/members/kaufmann_stefan-520904;Rechtsanwalt;"stefan-kaufmann.de/ - http://www.stefan-kaufmann.de/;Facebook - http://www.facebook.com/StefanKaufmannMdB;Twitter - http://www.twitter.com/StefanKaufmann;Instagram - https://www.instagram.com/stuttgartstefan/;Youtube - https://www.youtube.com/user/WeiterfuerStuttgart;";https://www.bundestag.de/resource/blob/12558/877a2d10c8e3205c9b41be408f070318/fraktion_cdu_banner-data.jpg
Kekeritz, Uwe;Alliance 90/The Greens;https://www.bundestag.de/en/members/kekeritz_uwe-520918;Diplom-Volkswirt;"uwe-kekeritz.de - http://www.uwe-kekeritz.de/;";https://www.bundestag.de/resource/blob/12560/e2d6a9a15366afffe06bb2d52fc9ae67/fraktion_diegruene_banner-data.jpg
Kelber, Ulrich;SPD;https://www.bundestag.de/en/members/kelber_ulrich-520922;Diplom-Informatiker;None;https://www.bundestag.de/resource/blob/12540/ce22aa20712bcd17e5280cb9f585c088/fraktion_spd_banner-data.png
Kemmer, Ronja;CDU/CSU;https://www.bundestag.de/en/members/kemmer_ronja-520934;Volkswirtin;"ronja-kemmer.de - http://ronja-kemmer.de/;Facebook - http://facebook.com/ronjakemmer;Twitter - http://twitter.com/ronjakemmer;Instagram - http://www.instagram.com/ronjakemmer;";https://www.bundestag.de/resource/blob/12558/877a2d10c8e3205c9b41be408f070318/fraktion_cdu_banner-data.jpg
Kemmerich, Thomas L.;FDP;https://www.bundestag.de/en/members/520930-520930;Jurist;None;https://www.bundestag.de/resource/blob/516524/dc58db5d3a142c77b5c64862b530a215/fraktion_fdp_banner-data.jpg
Kessler, Dr. Achim;The Left Party;https://www.bundestag.de/en/members/kessler_achim-520972;;"achim-kessler.de - https://www.achim-kessler.de;Facebook - https://www.facebook.com/DrAchimKessler/;Twitter - https://twitter.com/AchimKessler;";https://www.bundestag.de/resource/blob/12550/daed5c21483e8d02bf12297383ebffe9/fraktion_dielinke_banner-data.jpg
Kestner, Jens;AfD;https://www.bundestag.de/en/members/520974-520974;Bestatter;None;https://www.bundestag.de/resource/blob/516522/1df33c7a277e2501443d50aa5252dd15/fraktion_afd_banner-data.jpg
Keul, Katja;Alliance 90/The Greens;https://www.bundestag.de/en/members/keul_katja-520978;Rechtsanwältin;"katja-keul.de - http://www.katja-keul.de;";https://www.bundestag.de/resource/blob/12560/e2d6a9a15366afffe06bb2d52fc9ae67/fraktion_diegruene_banner-data.jpg
Keuter, Stefan;AfD;https://www.bundestag.de/en/members/520980-520980;Bankkaufmann, Diplom-Betriebswirt (FH);"Facebook - https://www.facebook.com/Stefan.Keuter.AfD/;";https://www.bundestag.de/resource/blob/516522/1df33c7a277e2501443d50aa5252dd15/fraktion_afd_banner-data.jpg
Kiesewetter, Roderich;CDU/CSU;https://www.bundestag.de/en/members/kiesewetter_roderich-520990;Diplom-Kaufmann;"roderich-kiesewetter.de - http://www.roderich-kiesewetter.de;Facebook - http://www.facebook.com/roderich.kiesewetter;Twitter - http://twitter.com/RKiesewetter;";https://www.bundestag.de/resource/blob/12558/877a2d10c8e3205c9b41be408f070318/fraktion_cdu_banner-data.jpg
